'aight, alright
amn't, am not
aren't, are not
can't, cannot
'cause, because
could've, could have
couldn't, could not
couldn't've, could not have
daresn't, dare not
dasn't, dare not
didn't, did not
doesn't, does not
e'er, ever
everybody's, everybody is
everyone's, everyone is
g'day, good day
gimme, give me
giv'n, given
gonna, going to
gon't, go not
gotta, got to
hadn't, had not
had've, had have
hasn't, has not
haven't, have not
he've, he have
how'll, how will
how're, how are
I'd've, I would have
I'm, I am
I'm'a, I am about to
I'm'o, I am going to
innit, is it not
I've, I have
isn't, is not
it'd, it would
iunno, I don't know
let's, let us
ma'am, madam
mayn't, may not
may've, may have
methinks, me thinks
mightn't, might not
might've, might have
mustn't, must not
mustn't've, must not have
must've, must have
needn't, need not
nal, and all
ne'er, never
o'clock, of the clock
o'er, over
ol', old
oughtn't, ought not
's, is, has, does, or us
shalln't, shall not
shan't, shall not
should've, should have
shouldn't, should not
shouldn't've, should not have
so're, so are
that're, that are
there're, there are
these're, these are
these've, these have
they've, they have
those're, those are
those've, those have
'tis, it is
to've, to have
'twas, it was
wanna, want to
wasn't, was not
we'd've, we would have
we're, we are
we've, we have
weren't, were not
what'd, what did
what've, what have
where'd, where did
where're, where are
where've, where have
which're, which are
which've, which have
who'd've, who would have
who're, who are
who've, who have
why'd, why did
why're, why are
willn't, will not
won't, will not
wonnot, will not
would've, would have
wouldn't, would not
wouldn't've, would not have
you're, you are
you've, you have
noun's, noun is
're, are
